filename,trump_count,biden_count
2023-12-19_Rachel_Maddow_Show.txt,7,1
2024-01-08_Rachel_Maddow_Show.txt,35,17
2024-01-29_Rachel_Maddow_Show.txt,36,4
2024-02-03_Rachel_Maddow_Show.txt,41,23
2024-02-05_Rachel_Maddow_Show.txt,46,21
2024-02-13_Rachel_Maddow_Show.txt,37,1
2024-02-20_Rachel_Maddow_Show.txt,19,5
2024-02-26_Rachel_Maddow_Show.txt,45,16
2024-03-02_Rachel_Maddow_Show.txt,43,15
2024-03-04_Rachel_Maddow_Show.txt,34,9
2024-03-05_Rachel_Maddow_Show.txt,33,9
2024-03-11_Rachel_Maddow_Show.txt,51,13
2024-03-18_Rachel_Maddow_Show.txt,87,2
2024-03-19_Rachel_Maddow_Show.txt,85,2
2024-03-25_Rachel_Maddow_Show.txt,14,2
2024-03-26_Rachel_Maddow_Show.txt,14,2
2024-04-01_Rachel_Maddow_Show.txt,32,13
2024-04-08_Rachel_Maddow_Show.txt,63,5
2024-04-09_Rachel_Maddow_Show.txt,62,5
2024-04-15_Rachel_Maddow_Show.txt,114,1
2024-04-29_Rachel_Maddow_Show.txt,28,2
2024-04-30_Rachel_Maddow_Show.txt,28,1
2024-05-06_Rachel_Maddow_Show.txt,30,3
2024-05-07_Rachel_Maddow_Show.txt,30,3
2024-05-20_Rachel_Maddow_Show.txt,23,1
2024-05-27_Rachel_Maddow_Show.txt,13,2
2024-06-04_Rachel_Maddow_Show.txt,57,5
2024-06-10_Rachel_Maddow_Show.txt,36,10
2024-06-17_Rachel_Maddow_Show.txt,15,9
2024-06-22_Rachel_Maddow_Show.txt,12,7
2024-06-24_Rachel_Maddow_Show.txt,69,21
2024-07-01_Rachel_Maddow_Show.txt,58,6
2024-07-02_Rachel_Maddow_Show.txt,72,2
2024-07-04_Rachel_Maddow_Show.txt,49,0
2024-07-08_Rachel_Maddow_Show.txt,50,73
2024-07-29_Rachel_Maddow_Show.txt,62,8
2024-08-05_Rachel_Maddow_Show.txt,61,13
2024-08-06_Rachel_Maddow_Show.txt,62,13
2024-08-12_Rachel_Maddow_Show.txt,83,8
2024-08-26_Rachel_Maddow_Show.txt,40,5
2024-09-16_Rachel_Maddow_Show.txt,43,5
2024-09-20_Rachel_Maddow_Show.txt,28,3
2024-09-21_Rachel_Maddow_Show.txt,33,3
2024-09-24_Rachel_Maddow_Show.txt,44,6
2024-09-30_Rachel_Maddow_Show.txt,8,2
2024-10-08_Rachel_Maddow_Show.txt,28,4
2024-10-14_Rachel_Maddow_Show.txt,87,11
2024-10-21_Rachel_Maddow_Show.txt,52,3
2024-10-29_Rachel_Maddow_Show.txt,61,6
2024-11-03_Rachel_Maddow_Show.txt,81,18
2024-11-04_Rachel_Maddow_Show.txt,41,0
2024-11-05_Rachel_Maddow_Show.txt,40,0

Trump: 10829,Biden: 3493
